[Epoch 103] (Overall) rmse: 2.1044 | mae: 1.5192 | r2: 0.4055 | pearson_r: 0.7219 | spearman_r: 0.7211 | ce: -0.0000 
[Epoch 104] (Overall) rmse: 2.0999 | mae: 1.5228 | r2: 0.4081 | pearson_r: 0.7213 | spearman_r: 0.7187 | ce: -0.0000 
[Epoch 105] (Overall) rmse: 2.1047 | mae: 1.5215 | r2: 0.4054 | pearson_r: 0.7210 | spearman_r: 0.7193 | ce: -0.0000 
[Epoch 106] (Overall) rmse: 2.1418 | mae: 1.5520 | r2: 0.3842 | pearson_r: 0.7183 | spearman_r: 0.7168 | ce: -0.0000 
[Epoch 107] (Overall) rmse: 2.1139 | mae: 1.5236 | r2: 0.4001 | pearson_r: 0.7174 | spearman_r: 0.7151 | ce: -0.0000 
[Epoch 108] (Overall) rmse: 2.1359 | mae: 1.5379 | r2: 0.3876 | pearson_r: 0.7207 | spearman_r: 0.7183 | ce: -0.0000 
[Epoch 109] (Overall) rmse: 2.1560 | mae: 1.5588 | r2: 0.3760 | pearson_r: 0.7184 | spearman_r: 0.7164 | ce: -0.0000 
[Epoch 110] (Overall) rmse: 2.1261 | mae: 1.5398 | r2: 0.3932 | pearson_r: 0.7211 | spearman_r: 0.7200 | ce: -0.0000 
[Epoch 111] (Overall) rmse: 2.1627 | mae: 1.5614 | r2: 0.3721 | pearson_r: 0.7153 | spearman_r: 0.7145 | ce: -0.0000 
[Epoch 112] (Overall) rmse: 2.1315 | mae: 1.5481 | r2: 0.3901 | pearson_r: 0.7192 | spearman_r: 0.7172 | ce: -0.0000 
[Epoch 113] (Overall) rmse: 2.1249 | mae: 1.5368 | r2: 0.3939 | pearson_r: 0.7177 | spearman_r: 0.7163 | ce: -0.0000 
[Epoch 114] (Overall) rmse: 2.1333 | mae: 1.5360 | r2: 0.3891 | pearson_r: 0.7182 | spearman_r: 0.7171 | ce: -0.0000 
[Epoch 115] (Overall) rmse: 2.1285 | mae: 1.5355 | r2: 0.3918 | pearson_r: 0.7176 | spearman_r: 0.7175 | ce: -0.0000 
[Epoch 116] (Overall) rmse: 2.1512 | mae: 1.5484 | r2: 0.3788 | pearson_r: 0.7179 | spearman_r: 0.7173 | ce: -0.0000 
[Epoch 117] (Overall) rmse: 2.1477 | mae: 1.5516 | r2: 0.3808 | pearson_r: 0.7155 | spearman_r: 0.7138 | ce: -0.0000 
[Epoch 118] (Overall) rmse: 2.1471 | mae: 1.5575 | r2: 0.3812 | pearson_r: 0.7143 | spearman_r: 0.7133 | ce: -0.0000 
[Epoch 119] (Overall) rmse: 2.1595 | mae: 1.5582 | r2: 0.3740 | pearson_r: 0.7171 | spearman_r: 0.7148 | ce: -0.0000 
[Epoch 120] (Overall) rmse: 2.1368 | mae: 1.5542 | r2: 0.3871 | pearson_r: 0.7165 | spearman_r: 0.7166 | ce: -0.0000 
[Epoch 121] (Overall) rmse: 2.1505 | mae: 1.5527 | r2: 0.3792 | pearson_r: 0.7176 | spearman_r: 0.7169 | ce: -0.0000 
[Epoch 122] (Overall) rmse: 2.1468 | mae: 1.5504 | r2: 0.3813 | pearson_r: 0.7187 | spearman_r: 0.7179 | ce: -0.0000 
[Epoch 123] (Overall) rmse: 2.1335 | mae: 1.5415 | r2: 0.3889 | pearson_r: 0.7164 | spearman_r: 0.7165 | ce: -0.0000 
[Epoch 124] (Overall) rmse: 2.1590 | mae: 1.5690 | r2: 0.3743 | pearson_r: 0.7162 | spearman_r: 0.7146 | ce: -0.0000 
[Epoch 125] (Overall) rmse: 2.1486 | mae: 1.5510 | r2: 0.3803 | pearson_r: 0.7181 | spearman_r: 0.7171 | ce: -0.0000 
[Epoch 126] (Overall) rmse: 2.1497 | mae: 1.5528 | r2: 0.3797 | pearson_r: 0.7172 | spearman_r: 0.7170 | ce: -0.0000 
[Epoch 127] (Overall) rmse: 2.1632 | mae: 1.5666 | r2: 0.3718 | pearson_r: 0.7133 | spearman_r: 0.7119 | ce: -0.0000 
[Epoch 128] (Overall) rmse: 2.1682 | mae: 1.5624 | r2: 0.3689 | pearson_r: 0.7155 | spearman_r: 0.7148 | ce: -0.0000 
[Epoch 129] (Overall) rmse: 2.1565 | mae: 1.5603 | r2: 0.3757 | pearson_r: 0.7180 | spearman_r: 0.7176 | ce: -0.0000 
[Epoch 130] (Overall) rmse: 2.1697 | mae: 1.5642 | r2: 0.3681 | pearson_r: 0.7150 | spearman_r: 0.7135 | ce: -0.0000 
[Epoch 131] (Overall) rmse: 2.1458 | mae: 1.5558 | r2: 0.3819 | pearson_r: 0.7186 | spearman_r: 0.7174 | ce: -0.0000 
[Epoch 132] (Overall) rmse: 2.1547 | mae: 1.5606 | r2: 0.3768 | pearson_r: 0.7155 | spearman_r: 0.7149 | ce: -0.0000 
[Epoch 133] (Overall) rmse: 2.1486 | mae: 1.5467 | r2: 0.3803 | pearson_r: 0.7175 | spearman_r: 0.7176 | ce: -0.0000 
[Epoch 134] (Overall) rmse: 2.1730 | mae: 1.5673 | r2: 0.3661 | pearson_r: 0.7154 | spearman_r: 0.7142 | ce: -0.0000 
[Epoch 135] (Overall) rmse: 2.1546 | mae: 1.5529 | r2: 0.3768 | pearson_r: 0.7165 | spearman_r: 0.7155 | ce: -0.0000 
[Epoch 136] (Overall) rmse: 2.1385 | mae: 1.5459 | r2: 0.3861 | pearson_r: 0.7176 | spearman_r: 0.7172 | ce: -0.0000 
[Epoch 137] (Overall) rmse: 2.1505 | mae: 1.5529 | r2: 0.3792 | pearson_r: 0.7167 | spearman_r: 0.7157 | ce: -0.0000 
[Epoch 138] (Overall) rmse: 2.1558 | mae: 1.5602 | r2: 0.3761 | pearson_r: 0.7147 | spearman_r: 0.7132 | ce: -0.0000 
